TPR,TNR,FPR,FNR,fold,accuracy,mode
0.925531914893617,0.7674418604651163,0.23255813953488372,0.07446808510638298,1,0.85,separate
0.8762886597938144,0.7590361445783133,0.24096385542168675,0.12371134020618557,2,0.8222222222222222,separate
0.968421052631579,0.7411764705882353,0.25882352941176473,0.031578947368421054,3,0.8611111111111112,separate
0.9873417721518988,0.7524752475247525,0.24752475247524752,0.012658227848101266,4,0.8555555555555555,separate
0.9764705882352941,0.7578947368421053,0.24210526315789474,0.023529411764705882,5,0.8611111111111112,separate
