mode,TPR,TNR,FPR,FNR,fold,accuracy
separate,0.9468107975412406,0.7556048919997045,0.2443951080002955,0.053189202458759355,3.0,0.85
pooled,0.8697464909978384,0.847971662854396,0.15202833714560393,0.13025350900216168,3.0,0.857777777777778
